Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Joe Diffie,John Deere Green,272066,2evFJQfQVcDEXyOiyEV6OW,3THMgU4KdL7LlO5TEREs2g,USSM19200086
Billy Ray Cyrus,Could've Been Me,224773,6x3GOzUYQE9nmQYSY8Lyrg,60rpJ9SgigSd16DOAG7GSa,USPG19290112
Ashley McBryde,One Night Standards,190973,47qZzTLLJcuD69AIKnquo4,371jpyGdoChzUASOIG2ECV,USWB11902033
John Prine,In Spite of Ourselves (feat. Iris DeMent),213600,1k691v8ChLgDiuLLKnjyj6,0nJUwPwC9Ti4vvuJ0q3MfT,USA2A0301915
Brooks & Dunn,Brand New Man - with Luke Combs,191053,001UkMQHw4zXfFNdKpwXAF,0XKOBt59crntr7HQXXO8Yz,USAN21800051
Brooks & Dunn,Neon Moon - with Kacey Musgraves,278200,3lVPtkNFoIyPPGVdNri4VH,0XKOBt59crntr7HQXXO8Yz,USAN21800058
Town Mountain,I'm On Fire,213826,3xSdEH8yjB0hiCcj9CG0xR,5cudslRGWg0GsXaN79Wifs,ushm90809015
Brooks & Dunn,My Maria - with Thomas Rhett,209946,64vkacv9XtTjAQSosbUbW2,0XKOBt59crntr7HQXXO8Yz,USAN21800057
Lonestar,Everything's Changed,233773,3LglfWKjbclW7Efzz8K1zS,3qbnxnvUqR14MJ9g8QwZJK,USBN19600096
Darius Rucker,For The First Time,197053,0LG2cFomCi8Fb664Lvr3Nu,7FY5V3XMwlNBPitEjXowHQ,USUM71706867
BlackHawk,Every Once In a While,220466,1V2AVM79zzwU01jNFahRwP,4mOt6H7OnuqLnQrm1Bboc6,USAN29700095
Restless Heart,When She Cries,222186,61EQfJXizp4MIpLYWyLoQI,0FcmRWJUfnCuwoXE1H2b0H,USRN19600163
Restless Heart,The Bluest Eyes In Texas,285560,1vYf97tjbKVPXHK4oQPU0T,0FcmRWJUfnCuwoXE1H2b0H,USRN18800014
Restless Heart,I'll Still Be Loving You,258493,2Cr6EnTzsPVNo6smjq9kA6,0FcmRWJUfnCuwoXE1H2b0H,USRN18600006
Restless Heart,Why Does It Have to Be (Wrong or Right),179373,0IdSezptoRChPUve2I2fEM,0FcmRWJUfnCuwoXE1H2b0H,USRN18600012
Restless Heart,That Rock Won't Roll,210466,6pDq07l6Lq99Z34N0iYQFM,0FcmRWJUfnCuwoXE1H2b0H,USRN18500002
Mark Chesnutt,It's A Little Too Late - 1996 Greatest Hits Version,163560,0D5L0ZxGyhEFTqhfiXwYxw,2cNV8vNe2fPFf6OfGOBbSS,USMC19650261
Eric Heatherly,Flowers On The Wall,209440,38buCDomzeOx85MeoDJgQ7,64AyHnB0YQfCZFo5etz5vY,USMR19989082
Carlene Carter,Every Little Thing,194386,1NpcXmiVJpDsdaOEejWgTC,2wKZKjNTOtH2vjxIsUBZqY,USGI19200001
Carlene Carter,I Fell in Love,222519,0Y8ZtAEkrKn86JRIEvOcdV,2wKZKjNTOtH2vjxIsUBZqY,USRE18900001
Little Texas,Amy's Back in Austin,276066,03F9hwZMmzYxUyOSqwC2Bk,5CCf77sKGlTdfIiIDaVScj,USWB19903063
Little Texas,What Might Have Been,238800,04F6rARD2mv4JiT8WglIDz,5CCf77sKGlTdfIiIDaVScj,USWB10903774
The Tractors,Baby Likes To Rock It,236466,2kQtKFkPMdL5Jf7xk4T9SI,4cORFIWQylRGyJX9lYnqk9,USAN29600016
Hal Ketchum,Past The Point Of Rescue,267466,6DqzLbXkxRUbvFyzWApTXM,6Pys4xsyQVA5ZjkN2Ka2S7,USCRB0000684
Clint Black,A Good Run of Bad Luck,161866,6H46hnlzoCKsbv2Ase75kX,3Ay15wt0QChT4Kapsuw5Jt,USRN19600228
The Judds,Mama He's Crazy,194760,2mEAWmVDub6PSF8pZXInrS,7MSTO40bsb3DOJQT6xLsIc,USM1C0200052
The Judds,Grandpa (Tell Me 'Bout The Good Old Days),258333,0ogTZlmFqg5xyFCMpRAEb4,7MSTO40bsb3DOJQT6xLsIc,USM1C0200053
